S10,S10_S10_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S11,S11_S11_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S12,S12_S12_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S13,S13_S13_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S14,S14_S14_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S15,S15_S15_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S16,S16_S16_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S17,S17_S17_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S18,S18_S18_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S19,S19_S19_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S1,S1_S1_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S20,S20_S20_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S21,S21_S21_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S22,S22_S22_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S23,S23_S23_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S24,S24_S24_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S25,S25_S25_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S26,S26_S26_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S27,S27_S27_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S28,S28_S28_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S29,S29_S29_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S2,S2_S2_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S30,S30_S30_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S31,S31_S31_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S32,S32_S32_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S33,S33_S33_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S34,S34_S34_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S35,S35_S35_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S36,S36_S36_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S37,S37_S37_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S38,S38_S38_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S39,S39_S39_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S3,S3_S3_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S40,S40_S40_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S41,S41_S41_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S42,S42_S42_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S43,S43_S43_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S44,S44_S44_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S45,S45_S45_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
S46,S46_S46_L001_R1_001.fastq.gz,TrueSeq3-PE-2.fa,phred33
